TASK ONE
Flight number 1 was added to flight list
Flight number 2 was added to flight list
Flight number 3 was added to flight list
Flight number 4 was added to flight list
Flight number 5 was added to flight list
TASK TWO
Christina Abney added to flight 1 at seat 1
Christina Abney-Alt added to flight 2 at seat 1
Christina Abney-Alt-Alt added to flight 3 at seat 1
Christina Abney-Alt-Alt-Alt added to flight 4 at seat 1
Christina Abney-Alt-Alt-Alt-Alt added to flight 5 at seat 1
Adebunmi Adeyemo added to flight 1 at seat 2
Adebunmi Adeyemo-Alt added to flight 2 at seat 2
Adebunmi Adeyemo-Alt-Alt added to flight 3 at seat 2
Adebunmi Adeyemo-Alt-Alt-Alt added to flight 4 at seat 2
Adebunmi Adeyemo-Alt-Alt-Alt-Alt added to flight 5 at seat 2
Parth Amin added to flight 1 at seat 3
Parth Amin-Alt added to flight 2 at seat 3
Parth Amin-Alt-Alt added to flight 3 at seat 3
Parth Amin-Alt-Alt-Alt added to flight 4 at seat 3
Parth Amin-Alt-Alt-Alt-Alt added to flight 5 at seat 3
Kevin Bagwell added to flight 1 at seat 4
Kevin Bagwell-Alt added to flight 2 at seat 4
Kevin Bagwell-Alt-Alt added to flight 3 at seat 4
Kevin Bagwell-Alt-Alt-Alt added to flight 4 at seat 4
Kevin Bagwell-Alt-Alt-Alt-Alt added to flight 5 at seat 4
Nicholas Caamano added to flight 1 at seat 5
Nicholas Caamano-Alt added to flight 2 at seat 5
Nicholas Caamano-Alt-Alt added to flight 3 at seat 5
Nicholas Caamano-Alt-Alt-Alt added to flight 4 at seat 5
Nicholas Caamano-Alt-Alt-Alt-Alt added to flight 5 at seat 5
Maja Culum added to flight 1 at seat 6
Maja Culum-Alt added to flight 2 at seat 6
Maja Culum-Alt-Alt added to flight 3 at seat 6
Maja Culum-Alt-Alt-Alt added to flight 4 at seat 6
Maja Culum-Alt-Alt-Alt-Alt added to flight 5 at seat 6
Rebecca Denham added to flight 1 at seat 7
Rebecca Denham-Alt added to flight 2 at seat 7
Rebecca Denham-Alt-Alt added to flight 3 at seat 7
Rebecca Denham-Alt-Alt-Alt added to flight 4 at seat 7
Rebecca Denham-Alt-Alt-Alt-Alt added to flight 5 at seat 7
Nicholas Desai added to flight 1 at seat 8
Nicholas Desai-Alt added to flight 2 at seat 8
Nicholas Desai-Alt-Alt added to flight 3 at seat 8
Nicholas Desai-Alt-Alt-Alt added to flight 4 at seat 8
Nicholas Desai-Alt-Alt-Alt-Alt added to flight 5 at seat 8
Mishuk Dutta added to flight 1 at seat 9
Mishuk Dutta-Alt added to flight 2 at seat 9
Mishuk Dutta-Alt-Alt added to flight 3 at seat 9
Mishuk Dutta-Alt-Alt-Alt added to flight 4 at seat 9
Mishuk Dutta-Alt-Alt-Alt-Alt added to flight 5 at seat 9
Jason Fernandez added to flight 1 at seat 10
Jason Fernandez-Alt added to flight 2 at seat 10
Jason Fernandez-Alt-Alt added to flight 3 at seat 10
Jason Fernandez-Alt-Alt-Alt added to flight 4 at seat 10
Jason Fernandez-Alt-Alt-Alt-Alt added to flight 5 at seat 10
Benjamin Flanders added to flight 1 at seat 11
Benjamin Flanders-Alt added to flight 2 at seat 11
Benjamin Flanders-Alt-Alt added to flight 3 at seat 11
Benjamin Flanders-Alt-Alt-Alt added to flight 4 at seat 11
Benjamin Flanders-Alt-Alt-Alt-Alt added to flight 5 at seat 11
Jacky Fong added to flight 1 at seat 12
Jacky Fong-Alt added to flight 2 at seat 12
Jacky Fong-Alt-Alt added to flight 3 at seat 12
Jacky Fong-Alt-Alt-Alt added to flight 4 at seat 12
Jacky Fong-Alt-Alt-Alt-Alt added to flight 5 at seat 12
Jalysa Garner added to flight 1 at seat 13
Jalysa Garner-Alt added to flight 2 at seat 13
Jalysa Garner-Alt-Alt added to flight 3 at seat 13
Jalysa Garner-Alt-Alt-Alt added to flight 4 at seat 13
Jalysa Garner-Alt-Alt-Alt-Alt added to flight 5 at seat 13
Kayla Gilbert added to flight 1 at seat 14
Kayla Gilbert-Alt added to flight 2 at seat 14
Kayla Gilbert-Alt-Alt added to flight 3 at seat 14
Kayla Gilbert-Alt-Alt-Alt added to flight 4 at seat 14
Kayla Gilbert-Alt-Alt-Alt-Alt added to flight 5 at seat 14
